Season,Rain,Sprinkler,WetGrass,SlipperyRoad
Fall,Yes,Off,Wet,Yes
Fall,Yes,Off,Wet,Yes
Spring,No,Off,Dry,No
Fall,No,Off,Wet,No
Winter,Yes,Off,Wet,Yes
Spring,Yes,Off,Wet,Yes
Spring,No,Off,Dry,No
Summer,Yes,On,Wet,Yes
Spring,No,On,Wet,No
Winter,Yes,Off,Wet,Yes
Spring,No,Off,Dry,No
Spring,No,Off,Dry,No
Spring,Yes,Off,Wet,Yes
Winter,Yes,Off,Dry,Yes
Fall,Yes,Off,Wet,Yes
Winter,Yes,Off,Wet,Yes
Summer,No,On,Wet,No
Summer,No,On,Dry,No
Summer,No,On,Wet,No
Summer,No,Off,Dry,No
Winter,Yes,Off,Wet,Yes
Fall,Yes,Off,Wet,Yes
Summer,No,On,Dry,No
Winter,Yes,Off,Wet,Yes
Spring,No,Off,Dry,No
Spring,No,Off,Dry,Yes
Fall,No,Off,Dry,No
Spring,Yes,Off,Wet,No
Spring,Yes,Off,Wet,Yes
Summer,No,On,Wet,No
Winter,Yes,Off,Wet,Yes
Fall,Yes,Off,Wet,Yes
Fall,Yes,Off,Wet,Yes
Spring,Yes,On,Wet,Yes
Summer,No,Off,Dry,No
Summer,No,Off,Dry,No
Winter,Yes,Off,Wet,No
Spring,Yes,Off,Dry,Yes
Winter,No,Off,Dry,No
Spring,No,Off,Dry,No
Winter,No,Off,Dry,No
Summer,No,Off,Dry,No
Winter,No,Off,Dry,No
Summer,Yes,On,Wet,Yes
Winter,No,Off,Dry,No
Summer,Yes,On,Wet,Yes
Fall,No,Off,Dry,No
Fall,Yes,Off,Wet,Yes
Summer,No,On,Wet,No
Summer,No,On,Wet,No
Spring,Yes,On,Wet,Yes
Winter,Yes,Off,Wet,No
Spring,Yes,On,Wet,Yes
Spring,No,Off,Dry,No
Fall,No,Off,Dry,No
Spring,Yes,On,Wet,Yes
Fall,No,On,Wet,No
Summer,No,On,Wet,No
Winter,Yes,Off,Wet,No
Fall,No,Off,Dry,No
Winter,Yes,Off,Wet,Yes
Winter,No,Off,Dry,No
Fall,No,Off,Dry,No
Winter,Yes,Off,Wet,No
Fall,No,Off,Dry,No
Winter,Yes,Off,Wet,No
Fall,No,Off,Dry,No
Fall,Yes,On,Wet,No
Fall,Yes,Off,Wet,Yes
Fall,Yes,Off,Wet,Yes
Summer,No,Off,Dry,No
Spring,Yes,Off,Wet,No
Fall,No,Off,Dry,No
Fall,Yes,Off,Wet,Yes
Fall,Yes,Off,Wet,Yes
Winter,No,Off,Dry,No
Spring,Yes,On,Wet,No
Fall,No,Off,Dry,Yes
Fall,No,Off,Dry,No
Fall,Yes,On,Wet,Yes
Winter,No,Off,Dry,No
Spring,No,Off,Dry,No
Spring,Yes,Off,Wet,Yes
Spring,No,Off,Dry,Yes
Winter,Yes,Off,Wet,Yes
Fall,No,Off,Dry,No
Spring,No,Off,Dry,No
Spring,Yes,Off,Wet,Yes
Fall,No,Off,Dry,No
Winter,No,Off,Dry,No
Winter,Yes,Off,Wet,Yes
Spring,No,Off,Dry,No
Fall,Yes,Off,Wet,No
Winter,No,Off,Dry,No
Fall,Yes,Off,Wet,Yes
Fall,Yes,Off,Wet,Yes
Spring,Yes,Off,Dry,Yes
Fall,No,Off,Dry,No
Summer,No,On,Wet,No
Fall,No,Off,Dry,No
Spring,No,On,Wet,No
Fall,No,Off,Dry,No
Winter,No,Off,Dry,No
Winter,Yes,Off,Dry,Yes
Summer,No,On,Wet,No
Winter,Yes,Off,Wet,Yes
Spring,Yes,Off,Wet,Yes
Spring,No,Off,Dry,No
Summer,No,Off,Wet,No
Winter,Yes,Off,Wet,Yes
Summer,No,On,Wet,No
Fall,No,Off,Dry,No
Fall,No,Off,Dry,No
Summer,No,On,Dry,No
Fall,No,Off,Dry,No
Winter,No,On,Wet,No
Winter,Yes,On,Wet,Yes
Fall,No,On,Wet,No
Summer,No,Off,Dry,Yes
Fall,No,Off,Dry,No
Fall,Yes,Off,Wet,Yes
Fall,No,Off,Dry,No
Summer,No,On,Wet,No
Winter,No,Off,Dry,No
Winter,Yes,Off,Wet,No
Fall,No,On,Wet,No
Winter,Yes,Off,Wet,No
Summer,No,On,Wet,No
Winter,No,Off,Dry,No
Summer,No,On,Dry,No
Fall,No,Off,Dry,No
Fall,Yes,Off,Wet,Yes
Summer,No,On,Wet,No
Summer,Yes,On,Wet,Yes
Spring,No,Off,Dry,No
Spring,Yes,Off,Wet,Yes
Fall,Yes,Off,Wet,Yes
Summer,No,Off,Dry,No
Spring,No,Off,Dry,No
Summer,No,On,Dry,No
Spring,Yes,Off,Wet,Yes
Fall,No,Off,Dry,No
Fall,No,Off,Dry,No
Winter,Yes,Off,Wet,Yes
Summer,No,On,Wet,No
Winter,Yes,Off,Wet,Yes
Fall,No,Off,Dry,No
Summer,Yes,On,Wet,Yes
Summer,No,On,Wet,No
Winter,No,Off,Dry,No
Summer,No,On,Wet,No
Summer,Yes,Off,Wet,No
Fall,Yes,Off,Wet,Yes
Winter,Yes,Off,Wet,Yes
Spring,Yes,On,Wet,Yes
Summer,Yes,Off,Wet,Yes
Spring,Yes,Off,Wet,No
Winter,No,Off,Dry,No
Winter,Yes,On,Wet,No
Winter,Yes,Off,Wet,No
Fall,No,On,Wet,No
Winter,Yes,Off,Wet,Yes
Summer,Yes,On,Wet,No
Fall,Yes,On,Wet,Yes
Winter,Yes,Off,Dry,No
Spring,Yes,On,Wet,Yes
Fall,No,Off,Dry,No
Winter,No,Off,Dry,No
Spring,Yes,On,Wet,Yes
Spring,No,Off,Dry,No
Summer,No,On,Wet,No
Fall,No,Off,Dry,No
Summer,No,On,Wet,No
Summer,No,Off,Dry,No
Winter,No,Off,Dry,No
Summer,No,Off,Dry,No
Summer,No,On,Dry,No
Summer,No,On,Wet,No
Spring,Yes,Off,Wet,Yes
Spring,No,On,Wet,No
Summer,No,On,Wet,No
Winter,No,Off,Dry,No
Summer,No,Off,Dry,No
Summer,No,On,Wet,No
Fall,No,Off,Dry,No
Winter,Yes,Off,Wet,No
Summer,Yes,On,Wet,Yes
Fall,Yes,Off,Wet,Yes
Winter,Yes,Off,Wet,No
Summer,No,On,Wet,No
Fall,No,Off,Dry,No
Fall,No,Off,Dry,No
Fall,No,Off,Dry,No
Winter,No,Off,Dry,No
Winter,Yes,Off,Wet,Yes
Fall,No,Off,Dry,No
Spring,Yes,Off,Dry,Yes
Fall,Yes,On,Wet,Yes
Summer,No,On,Wet,No
Spring,Yes,Off,Dry,Yes
